gene,total_counts,expressed_cells
LEPRE1,1016.0228466116538,992
AC026471.3,1057.0236629986455,992
LRRN4,1054.6167648618657,991
KLHL32,1007.5409507525854,991
HAVCR1,1111.5975509173052,990
TREH,1071.7317794457383,990
AC096677.1,1004.9933945065162,989
LINC01123,998.9532894737081,989
C10orf67,1012.1749439286713,989
ZNF343,993.5080198052293,988
C17orf103,1016.7053300534441,987
RP11-488C13.5,1017.7292533575801,986
LDLRAD3,1020.3925197492089,986
AC005356.1,1093.2611586426276,986
RP11-159D12.2,1020.0950916488313,986
AC108047.1,992.592601002336,986
SMN2,991.5718241104106,986
RFTN2,1063.2046682002112,986
OSCAR,1111.434409244638,985
ZNRD1-AS1,1017.5756632799489,985
AL117339.5,1010.4781837941697,985
LAG3,1125.0008102952486,985
HCN2,1098.9348960335853,985
ZNF547,994.251350404729,984
MAG,1212.4091140424375,983
FLRT2,1198.363680745789,983
PLSCR2,1000.4242582431541,983
ENO1-AS1,989.3291091114353,982
ZNF99,1052.6392339103961,982
GLIS1,1015.5830499811514,982
LINC00853,1017.110882651754,981
ILRUN,1063.9405231286,980
MCM3AP-AS1,993.8616377647122,978
AC106869.1,1004.9699655673103,978
RP11-527L4.2,1195.664062962528,978
STRIP2,1038.8869909213352,977
FAM65C,1088.9159075740256,977
PNMA3,1009.478736082159,977
DDX47,985.8009840345196,976
KIF3C,988.6634218329835,976
RP11-350F4.2,1010.2965542750527,974
NDUFV2-AS1,984.7660913116973,974
MIR181A2HG,1000.3242369765223,974
AL138762.1,978.0087248116487,974
AC245407.2,1058.0916338174297,974
RP11-554J4.1,1006.9893076421068,973
CEP128,989.8472561658745,973
ZNF774,989.0247609547798,973
LINC00086,1019.4596277062408,972
SMLR1,1027.681546809639,972
AC138696.2,973.3121616406769,971
ADORA1,1056.1138336135828,970
MAMDC2-AS1,974.3101307105958,969
AC092894.1,1030.1405713321476,969
PTOV1-AS1,981.1352485522203,969
AL137003.2,1006.9407435065225,969
HMHA1,1079.0991706145733,968
LENG8-AS1,986.5938491791875,967
C21orf58,1021.1140571476823,967
PRXL2C,1050.4042557832772,967
PPAPDC1A,1081.4705826941367,967
TXK,1080.6414886785165,966
RNFT2,972.029911868515,965
SOX15,1067.3954565972736,965
AC018797.2,981.2077420753487,965
KNL1,1113.2345088457585,964
C19orf26,1640.1830005294373,964
ZNF284,970.3049943732779,963
RP11-268J15.5,1050.8089454275757,963
CCDC18,993.9273035384385,962
NRIP2,1265.5989800517866,962
FSIP1,975.6542741065812,962
SERPINE1,2079.7384635878457,961
AC016727.1,971.2126649952538,961
AC099568.2,984.3794659280181,960
ZBTB7C,1007.1132680654277,960
RP11-558F24.4,1019.4949801328095,960
LINC02352,995.7296566981158,960
PLGLB1,968.0016966489065,960
CHKB-DT,965.1029303731018,959
LINC00885,985.3180611441657,959
MYCL,1009.1594951159982,959
AC010531.6,972.6498978114874,959
THSD1,994.7540280280572,958
ITK,1054.0831402201652,957
AC004556.1,1144.3733820521406,957
AL080317.1,978.4755582451944,957
ODAM,1025.2816566018782,956
DHFRL1,988.4540921714213,956
ECRG4,1815.2714615641974,956
CLDN10-AS1,1001.1663084081816,956
RYR1,989.5494025820417,956
FNDC5,997.7705391909741,956
HSPA6,2733.503406861219,955
AC004982.1,969.0024012186302,955
DGAT2,964.1958019715537,955
CSRP2BP,976.7689838581102,955
GJC1,1121.7530334182325,954
AL023284.4,965.9795877247968,954
AL031666.1,981.1729218344361,954
PAN3-AS1,962.4640881367238,953
SGCD,1047.8244053526262,953
CAPN13,987.8597986755873,953
CCDC150,1017.8188627880356,952
MMP23B,1040.93517285217,952
LINC01197,1086.9778231371595,952
CSF2RB,1075.2694237110031,952
SFRP2,4483.017922089435,951
ZNF296,979.5395403150286,951
OXER1,977.3972672831582,951
C1orf112,967.9200888767941,950
GPR132,977.0854928010733,950
GNRH1,966.2319655515977,949
SLC25A48,978.338571905708,949
SLC38A5,986.483691836157,949
C15orf38,987.1280281914021,949
KCNT2,1128.6885473808468,947
RAG1,961.5202549419125,947
C7orf60,984.6108660457228,947
NCR3,1213.0599115161913,947
AC114490.3,967.3180072176555,947
APOH,1070.4632375285632,947
DYNLL1-AS1,977.1756175048253,947
XYLT1,971.674001457228,946
AL391121.1,976.3972366500591,946
HS3ST3B1,1010.0086010587165,945
PRSS3,1041.3284933851387,945
BCL2L15,995.5910121214318,944
DOP1A,1022.7493885305418,944
TTC28-AS1,1015.2535140694374,944
MIR3936HG,1041.1688715299,943
PPP1R36,985.5049921220403,943
ZNF223,949.4087028204355,943
CIP2A,999.8670667312085,942
PFKFB4,973.7628082987873,942
CP,1477.322892358258,942
PPP1R1C,987.8173185938782,942
GALNT17,1112.80810066355,941
C7orf63,979.7933100478955,941
LINC01278,1004.4856245185006,940
SNHG11,992.5397832456077,940
INKA1,1017.1184899588305,939
KRBOX1.1,1042.738794972132,938
DAAM2,1067.7677339069849,938
TNKS2-AS1,953.5311011594117,938
AC015712.1,1001.3181872875257,938
AC009065.4,933.9635373503894,937
IGHM,39743.271435176066,937
CENPO,951.0811684442906,936
ZNF341,939.757846470345,936
AL513548.1,948.0912797072117,935
SLC16A14,978.597372494389,935
AC074289.1,999.1342439087102,934
KCNQ3,1020.4425519761286,934
DIPK1B,1088.4977033573812,933
AC021054.1,938.8094057091481,932
LGALS7B,995.968168003607,932
FLVCR1-DT,945.9868216634683,932
MORN3,941.1087050610763,931
AL035563.1,953.9288623931989,931
AC005229.4,930.8059383133026,930
FAM218A,932.7636733784768,930
WDR52,966.7965929813632,929
RP11-137H2.6,967.382786639999,929
MUC6,1675.688788687265,929
GNA14,1003.0128589643602,928
PCF11-AS1,942.1663120573074,928
RP11-258C19.7,966.7346053157659,928
AC074117.1,948.5790733878353,927
RP4-758J24.5,974.7140083350212,927
AC002310.12,963.6012286591667,927
AC138123.1,948.5999789660233,927
KTN1-AS1,946.3612931272717,926
BCAS1,1045.0933061204385,925
FLRT1,955.7904406883562,925
CXorf36,1207.4994887829314,925
MED14OS,952.2601150030571,924
CENPL,955.526628299567,924
CHI3L2,1331.2505755221102,923
DEPDC4,931.8885555196059,923
SRCRB4D,993.5998009430417,922
TRGC1,2140.2367294244414,922
LINC00960,957.4540238594319,922
AC113189.5,950.2788063012099,921
AQP5,1110.1707425476052,921
MRTFB,996.0959453635418,919
MPP2,942.6929549948101,918
MFAP4,1826.8916715732976,918
QRICH2,916.8769553647537,918
AC108860.2,939.8709204641386,918
TMEM194A,959.1908967188433,917
AOC3,1086.390031314202,917
ZNF30,919.2881376889505,916
AC012645.1,923.1461616213172,916
LILRB3,1137.4522511116827,916
TLCD2,945.5725830454865,916
ZP3,929.9764541434876,916
GPR98,981.0912360320701,916
AC007686.3,917.4500367968728,916
NRG4,942.7557811927892,915
AC098487.1,940.8189237426832,914
METTL21B,935.3511731794548,914
TNNC2,978.1538726629249,914
KHDC1,923.9042803446116,914
THRSP,1104.204183947499,914
NTS,1321.2180048599182,913
AC004466.1,924.1609617425243,913
FBN3,977.325794526801,913
LINC02298,939.8787756610009,913
ORC6,983.645655993434,912
AC099518.5,939.5995395850794,912
MYOM1,1033.2617921008518,912
B4GALT1-AS1,925.9762464584093,912
KCNN4,1028.3421847522632,912
SND1-IT1,926.4545583182112,912
PTGIS,1298.2051772498544,912
TLR10,1225.5261199349904,911
VIPR1,1062.969966262488,911
HIC1,1000.1562230848987,911
RP11-395P17.11,948.1498378219137,910
C1orf74,914.7752248689093,910
SNTG1,1131.6182311950913,910
HOXA2,920.5806024875019,909
STAM-AS1,930.8855410014513,909
PHETA2,921.4347779494078,908
PGR,987.9111225213571,907
COA6-AS1,967.0978451499855,907
AC022098.1,913.4411133999575,906
AL139353.1,913.6124917555882,905
LINC01836,947.4604482011999,905
SLC26A9,997.3159163970342,905
AL645608.1,979.6194795486213,905
OASL,1004.2961268815094,904
AC104506.1,922.0397619054743,904
SRXN1,930.5759672529438,903
IGDCC4,1009.7019205040436,903
FAM162B,1076.8604339452388,903
PID1,1054.8092920628008,902
AC023794.3,937.9118358320821,902
C2CD4A,1240.519513721854,901
AC044849.1,980.2397512435097,901
CLECL1,1080.057834684764,901
RBM20,934.9988875956482,901
FAM184B,929.0443052001657,901
AL163051.1,915.7740653198312,900
TNFSF9,1067.6938220344007,900
DUSP10,954.7395677824841,900
RGS7BP,1017.1973182768926,900
FO393401.1,961.628521285258,899
GPR176,991.9601501179326,899
HIST4H4,906.393107073381,898
SLC16A12-AS1,1061.2877384535311,898
AC233280.1,899.9977522449121,897
GABRB2,968.1559515513022,897
SLC44A5,944.5738191966998,897
REG3G,1576.4277618228105,897
PCDHB13,916.9566451399239,896
RP5-935K16.1,915.3022802370668,896
CLEC1A,971.3984426703577,896
AC008393.1,900.7817114176794,895
AC002070.1,924.6725919397635,895
RP11-1055B8.4,927.2113037700907,895
RP1-315G1.3,929.9258901142559,894
INSRR,1306.9832463316432,894
ZNF528-AS1,1003.797652042538,894
EGFLAM,989.7748312666142,894
CD300LF,1022.9958369607959,893
SRPX,1229.3902925551977,893
PIP5KL1,907.3663863903978,893
VGLL1,991.4448789595516,893
ZNF619,893.0774360571412,893
CPN2,986.2071746423029,892
NLGN4X,998.8845688607433,892
CYP4F11,916.8765661474079,892
TIMD4,995.2257853282466,891
XK,905.2626769864628,890
AC116345.3,983.698662339327,890
AC147067.1,919.4567673234217,890
ACTRT3,894.1888751307415,890
CCN3,1385.799153016049,890
SLC35F3,1062.762474749768,889
NCMAP,946.0160907030148,888
VPREB3,1304.3297395140025,888
TLDC2,1114.4731424457805,888
HDHD5-AS1,909.4532901972646,888
AC107057.1,1001.335631045888,888
POGLUT3,970.6967150927097,888
RP11-672L10.6,937.0674121682362,888
AC104031.1,933.2264696070146,887
AC116913.1,883.4444024949938,887
SLC5A9,926.4592259454186,886
BISPR,898.7866958852221,886
CR2,1005.1797804542084,885
KIF11,1028.8263715440467,885
ATP10A,1021.0463955071251,885
AC093627.4,893.2620936695693,885
LRRC17,960.733177982455,885
ZNF257,904.0741971284394,885
RP11-103G8.2,916.0491949590379,885
OVCH2,983.0835160629183,885
RNASEK-C17orf49,917.1025206828544,884
H1FX-AS1,891.5250550274915,884
RELCH,949.9116929959841,884
ADAMTS3,932.417810527839,884
AC013271.1,1140.1901389984876,884
CBFA2T3,955.4550929803281,884
STX1A,889.0494666883736,884
SLAMF1,1019.2574169517189,882
PGM5-AS1,1159.7457488895593,882
THSD7B,954.7633893194846,881
CYP3A7,1059.9816573474295,881
BOLA3-AS1,890.250958218382,880
KCNA5,1299.1844349767578,880
DCN,8188.314893688679,880
RAB39B,887.8635704232147,880
AC147651.1,906.4781840715063,879
GDPD5,906.970715277015,879
ZNF835,879.9539937612334,879
BRCA2,1018.1398883963536,879
HOXA-AS3,893.4091159215391,879
TSHZ3,907.3377361809504,879
LRRC43,885.2713517881742,878
WFDC3,894.3833655413918,878
SCML4,951.4197209397388,878
AC020659.1,909.9688224521727,878
OLFML2B,1108.3981570778797,878
SH3RF3,926.4345337258435,877
LINC00937,895.6701396663838,877
AC016773.1,901.4995069312181,877
AC116407.1,886.695636829318,877
HAPLN3,935.8394272365945,876
LRRC8C-DT,893.3475291793786,876
C11orf21,948.8216963053458,876
AC027307.2,884.079308336444,876
MOXD1,1074.8111822772207,876
IL1RL1,5599.0011738923295,876
NPAS3,919.8601829619615,876
POU5F2,888.7433055796137,876
PVRL1,906.7698998745406,876
SLC6A18,1346.74880330873,875
JCHAIN,79783.82647006452,875
AC092295.7,910.3933511955655,874
PJVK,883.1319594424974,874
LINC01569,885.3992783423578,874
RP11-334C17.5,903.456230243059,874
SCGN,1257.9069803102086,874
ZNF816-ZNF321P,888.9925411004672,873
TMEM52,892.3344233895542,873
AC003102.1,882.4490406485052,873
P2RY10,938.3247836047703,873
LINC02384,948.1037741508608,873
FAM95C,881.3571615109831,872
LIPE,900.0732842485465,872
B3GNT3,944.560646729095,872
AC005083.1,1022.870136206595,872
RTN4R,900.7247301306653,872
PPP5D1,880.9375464436873,872
YY2,881.4140829714866,871
ARHGEF25,941.5010084842025,871
AL391684.1,872.8051942792362,870
CIAO3,917.1840969743652,870
C7,4214.543286772298,870
LINC01725,902.7039725788936,870
AP001462.1,882.9096741126134,869
ATP6V0E2-AS1,877.2035951154498,869
AL354920.1,884.0191410305214,869
ISLR,1413.660410754629,869
KIF6,886.8832263196864,869
DACT3,1133.2343262612294,869
PRNCR1,903.6381716639959,868
FGF11,889.9868723446765,868
RUSC1-AS1,867.7916525527569,868
NPIPB11,880.3783098396882,868
PAQR4,924.6800070403651,868
PCDHB3,901.889270095811,867
AGBL2,879.342332191478,867
MICB,884.6836600427835,867
GLI3,900.3274833289443,866
MUC13,1199.726842742001,866
CENPF,2015.1995685866839,866
ST8SIA5,907.5044358908758,865
AC093635.1,877.9898154699039,865
IQANK1,871.6598644644213,864
TEKT2,882.0374129216751,864
SLC6A9,900.4398522095805,864
RP11-317J10.2,927.9655044691444,864
IGSF11,877.3212841738188,864
RP11-307C12.12,888.9184321514316,864
TRHDE-AS1,1003.4109607891052,864
ZNF285,870.1641842802529,864
ENHO,1107.9386819985084,863
AC231981.1,876.8296575234917,863
AL359513.1,885.5234042169602,863
FBLN1,2964.3570419854746,862
TMEM130,1134.764808752222,861
CD274,887.3443363226941,861
TMEM241,871.4681364146763,861
ZBED6CL,868.3689873168821,860
RP11-392P7.6,902.7338516217054,860
SLC1A3,1173.3711780290757,860
AC024337.2,873.4219313960292,860
ZNF852,867.4377640308309,859
AC022075.1,914.822145646024,859
LINC01788,892.4901642087472,859
OVOL1-AS1,934.0347780836363,859
RP11-403I13.8,882.1138152073413,859
MASP1,913.3750912675524,858
C10orf95,856.2479392094776,858
S100A5,885.1559490678236,858
RP11-430G17.3,897.2571079414307,858
COL24A1,917.7504412266159,858
KIF9-AS1,863.2538415488405,858
MIR497HG,932.4557884778742,857
ZNF665,873.8731531708513,857
NTN1,914.7713300393583,857
CASTOR2,880.3045511828581,857
FANCI,957.7615504024659,857
ZNF490,866.1081693363637,856
AC145207.5,860.4932260147888,856
CD300E,1104.8072027585185,856
A2M-AS1,865.2256619356403,856
AL450384.2,874.7414696361874,855
GINS1,864.80582946072,855
AC007448.3,884.4524498261679,855
RP11-166O4.6,891.4758010477525,855
ZNF256,855.8016570248105,854
C11orf35,869.4727738208189,854
RP11-138A9.1,894.5187150725706,853
NAT6,868.5278168746247,853
VPS13B-DT,962.1834175098024,853
CCDC183,862.1957480609068,853
SLC9A3-AS1,1041.9882698376832,853
C21orf62-AS1,880.7992754238109,853
SH3PXD2B,874.9725838088644,852
CABLES2,853.3445143223788,852
EYA2,864.8492663634312,851
RNF227,850.2429757713227,851
SLAMF8,1068.7065409495606,851
PTCH2,888.9158064351228,851
KCTD8,892.5588900049864,851
AC009283.1,861.9547579750864,851
MFSD13A,859.4316148447003,850
FABP4,4123.056114152144,850
AC008637.1,942.4004050131733,850
LINC01816,880.6221353948572,850
C7orf25,854.5629985250132,850
ZMYND15,876.6998545484272,849
AC124798.1,868.4238787052426,848
NBPF20,854.8188021063984,848
LPAR1,874.0564985435824,848
PSRC1,881.4364871947793,848
FOXC2,1049.8068131904765,847
RASL12,998.8314303825393,847
CTC-524C5.2,873.2396231432923,847
KLHL29,900.5696279726457,847
AC097500.2,880.7153803793389,846
CCDC152,874.797267015147,845
ZNF454,857.452992143271,845
KIAA2022,900.3284121445532,845
AC010501.1,871.4286289367218,844
PAXBP1-AS1,857.3318411233647,843
PTPRD-AS1,887.0621763659236,843
FBXL7,888.3507634929952,843
PRC1,959.3744185818234,843
ADGRB2,918.9853112182757,843
OTUD7A,851.2752538588156,843
TLL1,933.3582532647481,843
SNAP25,859.898255082643,842
LINC01963,864.7095478931236,842
AP001830.1,853.6582543742736,842
C14orf164,1154.5141006231063,842
AC068338.2,854.5721379548411,842
LRRC20,846.0288764315893,842
PCDHB11,890.4664349657692,842
AL645933.2,848.5726310330622,841
DACT2,872.6496327650351,841
FAM95B1,860.3113554465913,841
RP3-322G13.5,878.7353438912887,841
CARD9,890.5593529722132,841
ANKRD34B,958.8582027688532,841
MADCAM1,842.0127591109042,840
FAM217A,884.2780579089526,840
RP11-295P9.3,860.2046524494848,839
WNK2,867.493421242578,839
S1PR2,848.3184043930297,839
AL138966.2,848.6881546319157,838
NKAPL,879.5959366675454,838
GRM1,875.9405224639772,838
C1orf95,892.6991641158957,837
KNDC1,864.5300749219685,837
AC027020.2,855.9449416299494,837
CTBP1-AS2,855.7189210308813,836
C22orf29,850.7796139297612,835
CLTCL1,837.7845794061475,834
WDR63,861.2540947435409,834
AL662844.4,855.9940347260036,834
CAMKK1,837.655058645947,833
SYT1,959.3407186131631,833
SMOC2,1050.1793327865223,833
CCR6,900.2029799377902,833
RP1-193H18.2,895.0819388406729,832
AC004816.1,856.0724829449131,832
CRB2,1262.4410765871048,832
ECEL1,1261.9800644301563,832
RASGEF1A,866.5808397447196,832
BNC2-AS1,849.265377602182,832
PIEZO2,1030.6930411064475,831
BTBD19,838.8966401292979,831
CGREF1,875.1245372617088,831
ZGRF1,874.4783678709158,831
AL391069.2,848.5247644683981,830
BDKRB1,843.7283901871533,830
AC005670.3,884.7371921033703,829
MALRD1,857.8525586090914,829
SMIM10L2B,842.6776363382616,828
PRXL2B,875.807702040067,828
CCL20,5007.699919507407,827
AC009237.14,835.9186231756989,827
MFI2,1034.868961721498,827
DNM3OS,947.3240551531418,827
KAZALD1,849.1265965259165,826
KCNIP1,902.8020720479334,826
MIR29A,984.5759042238069,825
IRAK2,850.7493582013835,825
CTD-2247C11.5,1084.3996797111981,825
PITPNM3,834.6638298952713,825
AC073335.2,843.8574441276006,825
ADAT3,825.3088854933281,824
AZI1,849.627397713622,823
SGCA,1040.474692221592,823
GRAP2,860.5756766141808,823
TOX2,901.679791261215,823
RP11-254F7.2,860.8655003708135,822
TTYH2,843.5628917582333,822
PPAPDC2,838.5986139662098,822
FAM132A,895.4652997586014,822
RP11-297L17.2,875.0594053663715,821
AC005520.2,837.4433980551148,821
CREB3L1,886.6734281327051,821
KIAA1462,1203.227183985798,821
CAPN8,1144.6091400008129,820
SRSF12,830.4361722174096,820
ZNF597,830.5217660025437,820
REP15,849.5078571874606,819
GPRC6A,1403.0791804582352,819
AP003307.1,878.2854061773238,819
C1GALT1C1L,827.382408840878,818
PHF21B,846.7871462066618,818
NCCRP1,1447.398305570331,818
AC079602.1,844.5211403559824,818
NRIP3,860.6327347034186,818
DPEP2,878.7178474252705,817
WT1,1498.451694486287,817
C17orf82,839.2612194798609,816
TYRO3,1121.4567803568816,816
F10,888.700380500395,816
LRCH2,851.2205026151717,816
CTC-462L7.1,858.1248227813059,816
RIN1,823.5014693024589,816
CTC-459F4.3,851.2156730870477,816
RP11-798K3.2,957.2110132408022,815
LILRA2,950.6506559747014,815
HSPB6,1256.5003623961363,815
PARP15,879.9114293730747,815
HGF,978.5643306643932,815
AC005498.3,823.9996765517034,815
LRP8,833.4491334835998,814
DPF3,845.7659490705869,814
PPP1R14D,877.4354747433268,814
FANCA,849.9722239480168,814
RNF182,853.8338078108939,813
WNT7B,922.4634311836646,813
WISP3,873.2351670139093,812
FRMD7,888.704958830881,812
AC023490.1,839.4951701493609,812
AC116366.3,827.611842265127,812
MDGA1,841.4543872346451,812
PROSER3,816.3559975562645,812
LINC00884,821.0316469691937,812
NPIPB4,811.6926477424026,811
LZTS1,951.0522014279563,811
RP11-458N5.1,836.4009694392055,811
RNF157-AS1,817.56316502717,811
AC008736.1,817.8156978486822,811
NINJ2,856.942223197866,811
AP005432.2,1098.3452608274558,811
UPP2,1075.2754448997568,811
AC087500.1,807.0506935872786,811
HMX2,1487.0990256625882,810
PRR26,880.9231720910797,810
MYZAP,839.6500709442596,810
AK8,831.5752881142796,809
AC073389.1,816.2498471482118,809
TCF21,1891.2494454724406,809
FSD1,831.7348763212102,808
AC139100.2,1114.7772490365091,808
U62317.3,828.0575812179819,808
RP11-513O17.2,872.3756569014531,807
AC087564.1,836.76874791046,807
AC087623.3,819.7273678481374,807
PRRX2,1079.4041234733465,807
AP001528.1,829.022374310149,807
ERFE,965.8029336183106,807
FAM151B,808.5394562093516,806
STARD4-AS1,821.9724468457748,806
RPS6KL1,808.0205408733738,806
RP11-690G19.3,818.5099674904878,804
LNP1,832.240583353151,804
CXCL8,2970.9202634373946,803
SLC2A1-AS1,804.4301833729553,803
UNC5B-AS1,919.7281844084438,803
CARD11,824.3044822567622,803
RP11-1275H24.2,830.3648405007409,803
NFAM1,861.1238519108518,802
LINC00551,1551.8981949271517,801
IGHG1,160285.76203401576,800
MCOLN2,863.908960665699,800
TAF1A-AS1,805.772228716754,800
TMEM252,885.1023348387694,800
PLEKHG4,802.4469710731456,800
SSTR1,946.2852023454188,799
LINC01515,822.5179570875508,799
BMPR1B-DT,896.6606685198257,799
AC092164.1,832.0285314969709,798
RP11-434H6.7,823.2877660473185,798
FAM215B,803.7263948131006,798
LINC00894,798.3972937315666,798
TRIM62,797.6610238201371,797
C2orf72,825.2651907531435,797
AC009126.1,812.167950270781,797
AL080317.3,812.91719114929,797
AL121827.2,996.4001321427434,797
AC024560.1,831.0683896254876,797
CTD-2267D19.2,833.0337483095841,797
AL121658.1,815.2014389675072,797
EDA2R,840.3586243700561,796
HIGD1B,2119.702883448534,796
CPNE7,882.3750151664558,795
AC024060.1,807.9087963106854,795
AL022069.1,817.9295864127733,795
LY9,845.0680111996871,795
CCDC109B,860.3029773566134,794
ADRBK2,862.0374159004118,794
MTL5,833.8668714510547,794
BATF2,803.5800524937871,793
RP11-496I9.1,826.4640529720557,793
NXPH2,952.1098635777504,793
INHA,809.6756196448655,793
ZNF20,791.4390533584095,793
EPB41L4A-DT,807.1855955928243,793
SCXA,836.6663338893264,792
ZNF875,829.3029912092986,792
OVGP1,805.1343527573275,792
SCHIP1,830.9355670976613,792
AC084036.1,804.9556489050016,792
CTD-2186M15.3,827.3089190655069,792
DISC1,805.7092563890683,792
MYRFL,799.6472324508712,791
AC012123.1,797.9858332533202,791
RP11-1055B8.7,813.1039025942974,791
ADM5,885.2693077603783,790
MALINC1,808.180750735965,789
LINC00948,1162.7225948288944,789
PYCR1,811.4195994637741,789
LACE1,815.8417197214911,789
NFYC-AS1,789.318531279704,788
FANCE,791.6688194187345,788
SULT2B1,946.6454716047211,788
RP5-1057J7.6,813.8438838034418,788
ZEB2-AS1,832.2198181324758,788
TNFSF14,883.9213356824565,787
CCR7,1107.9490996230322,787
RGS5.1,793.6551352561394,786
DENND11,833.282816152942,786
RP11-544A12.8,810.0602932869187,785
AL683813.1,802.4686612334771,785
EPHB1,854.116678714963,784
AC016588.2,794.1498837698009,784
CHI3L1,2028.9392510089758,784
LINC01268,874.7505915749913,784
GXYLT2,802.8348141481808,784
AC233723.1,807.3302249322725,784
TTLL6,789.8677092238515,783
F2RL3,1146.3047707491392,783
CD180,858.7742184443256,783
CDON,801.7026918403338,782
ADAM12,839.4800579471174,782
AP003469.4,799.9431319507634,782
KCNJ8,877.7526136502445,781
MAMSTR,792.5620281953996,781
AC117498.2,794.3526233590084,781
HHIP-AS1,843.9379836461485,781
CCDC96,797.3419495512632,780
EFTUD1,814.7344745287178,780
SNAI3-AS1,776.7285727610816,779
LINC01697,1134.3661095127875,779
CATSPERG,778.3199001445778,779
MSI1,808.6232086860965,779
DGKG,862.7278754634369,779
APOBR,855.8101761696106,778
PTGIR,894.09438381579,777
TUBB4A,800.940097765903,777
LAMA2,878.2725920739009,777
PIK3R5,796.8501854846262,777
KIF5A,791.7719638385994,777
CTD-3064H18.1,817.0402185471098,776
AC021097.1,781.5384826721137,776
CCNA2,970.6508373880573,776
CXXC4,823.4870001474447,776
MEI1,855.4857807841838,775
HOXA11,811.803848270712,775
AL022068.1,801.4869969403161,775
AL031316.1,870.008168387257,775
THEMIS,870.5471320300164,774
BGLAP,776.9088636897981,774
LINC02453,785.985842205951,774
BRINP3,797.9340594203859,774
FGF1,2175.7469119216953,774
ADRA2B,875.1635376578577,774
RP11-285F7.2,790.0777848576416,774
EPHA1-AS1,786.70557828289,774
PVT1,801.4324913803679,773
CCBE1,883.853531567285,773
ACVR1C,842.6851841973057,772
LINC00863,791.1593084191169,772
AP001626.1,793.2286473080248,771
RP11-166P13.3,796.1867011710544,771
AC009118.3,785.0377790718484,770
TGFB3,816.7420537270165,770
AC245452.1,782.1888975677607,770
SPTBN4,785.2480951085016,770
F5,1065.7964845340075,770
LDB3,1054.868669788074,770
AC022364.1,777.4006940171002,768
AC005837.1,780.7444967263721,768
LENG9,764.0844854942588,767
C11orf70,812.6353268048113,767
GPR75-ASB3,780.6389922852289,767
UNC13C,807.8556361210394,767
INCA1,780.2419427839602,766
LBX2-AS1,777.7692497883894,766
TNNI2,865.8431600995881,765
IHH,779.4957630233511,764
MATN3,812.3770324627843,764
AC015871.1,826.414633192381,764
ZSWIM3,765.4100882619654,764
ZFP2,767.562673544582,763
RUNDC3A,801.5439000789178,763
ERICH2,780.8580000632858,763
PRELP,1072.3628722432993,763
AC105760.2,774.4628950535862,761
DIO3OS,914.09955647598,761
MYRIP,786.8342680731885,760
KLLN,770.1606677168085,759
ATPSCKMT,816.4746392910503,759
SLC45A1,829.6269520385597,759
LRRC56,765.8800586175473,759
CAMK4,822.0601526539308,758
CTD-3195I5.1,784.8622315232317,758
ZNF630,765.5879462483264,758
AC004951.1,765.2704638809025,758
APOBEC3D,768.2575954801828,758
ARNTL2,786.5176775823642,758
NDST3,791.3001710276993,758
ANO1,945.718908108545,757
ZNF565,757.9632849113144,757
OAZ3,763.1914614117567,757
ANKRD7,762.9653367630575,757
AL133351.1,856.7439170442766,757
GLTSCR1,770.0130936909917,756
CNTNAP3,770.2153115581456,756
ADNP-AS1,761.2878376349921,756
KCNE4,1145.0631650553846,756
AP005205.2,786.9897639658192,756
CRIM1-DT,827.5577182160441,755
AC010913.1,875.9797365931812,754
LINC02562,812.0548598145384,754
ZC3H12B,759.5989953210334,754
MID2,759.7019387289317,753
PCCA-DT,827.9562948704117,753
Z83843.1,802.8440114623195,752
SSTR2,842.5276334643168,752
ZNF530,750.0634129582445,752
PPM1E,806.7722018699073,751
MYLK4,764.7898410449335,751
C15orf52,787.1053198642046,750
AL355816.2,760.5191299556577,750
AC091729.9,773.7533754540027,749
GPR161,755.7709949210256,749
AC023509.4,758.1458886748561,749
AC130650.2,757.7709961295724,749
ZNF366,832.1998295086125,748
LINC00630,755.1172095272711,747
PSG5,914.718561537022,747
RNFT1-DT,756.6157627751177,747
GOLGA6L10,755.1310598085365,746
DCAF12L1,771.1386924382452,746
AL355102.4,804.4117801669576,746
GSDMB,742.6746121721432,746
TUBA4B,816.6462272330198,746
CGA,2228.1517792219306,745
FAM109A,771.0781367672691,745
PHACTR3,842.6543855786134,744
HK3,895.2311531787282,744
RP1-90J20.8,858.8330453659567,744
COLQ,747.5039695803845,744
WDFY4,964.9434629079067,744
TBX19,756.6223459663003,743
NDRG4,830.837856443356,743
SRSF10.1,766.3063206986482,742
SLC49A4,793.9699024915359,742
LINC01266,772.4139838856478,742
AC010618.3,752.6359607430728,742
AC083880.1,746.3517205890281,741
DACT1,786.845076281147,741
AC106782.2,747.6783148752409,741
AC016629.8,766.347778247124,741
YAE1,791.9026828227587,740
ACTL10,740.5933145757791,740
FRG2C,959.8019198961736,739
GAS7,823.3337633986241,739
NEK10,766.110854749318,738
CCDC15,760.174731004514,738
ACKR1,3267.7693452542458,738
TTN,852.5778963999937,737
AC093627.5,747.9676351185512,737
RP11-486G15.2,761.7534767601463,737
C16orf93,754.2808751112644,736
CD1E,1768.2085643966566,735
PRSS36,737.6601871001524,735
SHISA2,819.0564212614073,735
P2RX7,795.4261156602902,734
FHL5,967.0427017406396,734
